,Speed_limit_20,Speed_limit_30,Speed_limit_50,Speed_limit_60,Speed_limit_70,Speed_limit_80,End_of_speed_limit_80,Speed_limit_100,Speed_limit_120,No_overtaking,No_overtaking_for_trucks,Give_way,Priority_road,Yield,Stop,Road_closed,Heavy_vehicles_prohibited,Do_not_enter,General_warning,Left_bend,Right_bend,Double_bend,Uneven_road,Slippery_road,Narrow_road,Roadworks_ahead,Traffic_signals_ahead,Pedestrian_crossing,Watch_for_children,Bicycle_crossing,Snow,Cattle_on_the_road,End_of_all_restrictions,Turn_right_ahead,Turn_left_ahead,Straight_ahead_only,Ahead_or_turn_right_only,Ahead_or_turn_left_only,Bypass_on_right,Bypass_on_left,Roundabout,End_of_no_overtaking_zone,End_of_no_overtaking_zone_for_trucks
Speed_limit_20,93,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Speed_limit_30,0,81,2,1,0,2,3,0,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Speed_limit_50,0,9,21,52,2,2,3,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Speed_limit_60,1,19,0,59,0,0,9,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Speed_limit_70,0,0,0,0,83,0,0,0,1,0,1,0,0,0,0,0,6,0,2,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Speed_limit_80,0,15,0,5,1,38,18,0,0,0,3,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1
End_of_speed_limit_80,0,0,0,12,0,12,26,0,0,0,5,0,0,0,0,0,12,0,3,1,1,0,0,0,0,0,0,0,24,0,0,0,1,0,0,0,0,3,0,0,0,0,0
Speed_limit_100,0,0,0,1,1,1,5,66,2,0,0,0,0,0,0,0,9,0,1,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Speed_limit_120,1,0,0,0,3,0,5,4,53,0,4,0,0,0,0,0,12,1,3,0,0,0,0,0,1,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,1
No_overtaking,2,1,0,0,0,0,0,0,1,2,5,1,0,0,0,0,64,1,2,0,0,0,2,0,0,3,0,3,5,0,0,1,0,0,0,0,0,0,0,0,0,7,0
No_overtaking_for_trucks,0,0,0,0,0,0,0,0,0,2,3,1,0,0,3,0,66,1,5,0,0,0,1,0,0,0,1,0,7,0,0,3,1,0,0,0,0,1,0,1,0,2,2
Give_way,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,1,8,1,5,0,0,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0
Priority_road,1,0,0,0,0,0,2,1,1,0,0,0,2,1,0,0,6,0,49,0,0,1,3,0,1,2,0,13,14,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Yield,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,7,0,47,5,0,3,12,0,3,1,0,2,4,2,0,0,0,0,4,0,0,0,0,2,1,0,2
Stop,0,0,0,0,0,0,0,1,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Road_closed,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,30,4,6,0,0,0,3,0,1,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,10,7,2
Heavy_vehicles_prohibited,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0,0,0,0,0,2,3
Do_not_enter,0,0,0,0,0,0,0,0,0,1,8,0,0,0,6,0,40,5,5,0,0,0,1,0,0,2,0,1,1,0,0,0,2,0,0,0,0,0,2,0,0,21,5
General_warning,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,78,0,0,1,1,1,5,4,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2
Left_bend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,2,7,24,0,0,0,1,1,0,0,1,0,0,0,0,0,0,6,3,0,0,0
Right_bend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,2,2,14,1,1,0,0,2,0,2,1,0,0,0,0,0,0,2,0,1,0,0
Double_bend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,77,0,0,0,2,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,1,0,0
Uneven_road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64,0,0,0,4,17,0,9,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0
Slippery_road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,39,0,0,0,2,37,0,4,0,0,2,0,0,5,0,0,0,0,0,0,1,4,0,0,0
Narrow_road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,28,0,1,0,15,9,1,16,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
Roadworks_ahead,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,47,0,0,0,0,19,0,19,0,10,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Traffic_signals_ahead,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,49,0,0,0,1,10,0,27,0,0,4,0,0,0,0,0,0,0,0,0,2,0,5,0,0
Pedestrian_crossing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,31,0,1,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Watch_for_children,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,33,0,0,0,1,23,0,4,0,29,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bicycle_crossing,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,40,0,0,1,0,1,0,4,0,0,6,44,0,0,0,0,0,1,0,0,0,0,0,0,0
Snow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58,1,0,0,0,5,0,0,0,0,0,0,31,0,0,0,0,0,0,0,4,0,0,0,0
Cattle_on_the_road,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,49,0,0,1,3,26,0,1,0,0,2,0,0,2,0,0,0,0,0,0,8,6,0,0,0
End_of_all_restrictions,1,0,0,0,0,0,0,1,1,0,14,0,0,0,0,0,32,0,0,0,1,0,9,0,0,1,1,3,11,0,0,1,0,0,1,0,5,1,0,0,0,17,0
Turn_right_ahead,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,2,1,7,0,4,0,5,0,0,1,23,0,0,0,0,14,13,0,2,1,1,4,17,0,0
Turn_left_ahead,1,2,1,0,0,0,0,0,0,0,6,3,0,0,0,0,1,1,4,3,5,1,1,0,1,0,0,1,36,0,1,0,0,2,14,0,2,1,2,6,4,1,0
Straight_ahead_only,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,1,0,0,0,5,0,4,1,0,3,7,0,0,0,0,40,17,0,8,0,2,0,2,0,1
Ahead_or_turn_right_only,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,3,0,3,1,0,1,3,0,0,0,0,0,19,0,0,1,0,10,22,0,0,1,5,2,24,0,0
Ahead_or_turn_left_only,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,1,0,12,0,0,0,3,0,0,0,0,2,15,0,0,0,0,3,22,0,3,0,5,12,17,0,0
Bypass_on_right,1,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,9,2,6,2,0,0,14,0,0,0,0,8,15,0,0,0,0,0,9,0,0,8,0,7,7,5,0
Bypass_on_left,5,0,0,0,0,0,1,0,1,0,4,0,1,0,0,0,13,0,5,0,0,0,3,0,0,1,0,0,9,0,0,0,0,0,26,0,0,18,0,6,7,0,0
Roundabout,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,3,64,0,0,0,0,0,1,0,0,0,0,0,20,0,0
End_of_no_overtaking_zone,4,0,0,0,0,0,1,0,4,0,11,0,0,0,0,0,37,0,4,0,0,0,0,0,0,0,1,2,27,0,0,0,0,0,3,0,1,0,0,0,4,1,0
End_of_no_overtaking_zone_for_trucks,2,0,0,0,2,0,0,0,2,0,15,0,0,0,0,0,34,2,12,1,0,1,0,0,1,0,0,1,22,0,0,2,0,0,1,0,2,0,0,0,0,0,0
